"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"25","S-P11159","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,1989,-4.449034093,43.04346739,"1 - UTM1x1 + Elevation",1340,"",NA,"Cirsion richterano-chodati"
"26","S-P11160","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",40,1989,-4.429271113,43.03831306,"1 - UTM1x1 + Elevation",1630,"SW",5,"Cirsion richterano-chodati"
"27","S-P11161","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,1989,-4.494536319,42.99605692,"1 - UTM1x1 + Elevation",1160,"",NA,"Cirsion richterano-chodati"
"28","S-P19747","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",150,2001,-5.639464935,42.80428532,"3 - UTM10x10 + Elevation",950,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"29","T-P04817","Cirsio chodati-Carduetum cantabrici","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,1984,-4.764516188,43.17050472,"3 - UTM10x10 + Elevation",1430,"",NA,"Cirsion richterano-chodati"
"30","T-P04821","Cirsio chodati-Carduetum cantabrici","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,1984,-4.764954781,43.10026214,"3 - UTM10x10 + Elevation",1340,"",NA,"Cirsion richterano-chodati"
"31","T-P04822","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","R",10,1984,-4.802200937,43.02944492,"3 - UTM10x10 + Elevation",1600,"",NA,"Cirsion richterano-chodati"
"32","T-P04823","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",15,1984,-6.008270155,43.04550291,"3 - UTM10x10 + Elevation",1350,"",NA,"Cirsion richterano-chodati"
"33","T-P04824","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,1984,-6.002846057,43.08526369,"3 - UTM10x10 + Elevation",1480,"",NA,"Cirsion richterano-chodati"
"34","T-P11665","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",25,1988,-5.805924994,42.91558207,"3 - UTM10x10 + Elevation",1540,"",NA,"Cirsion richterano-chodati"
"35","T-P11666","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,1988,-5.72477104,42.96436699,"3 - UTM10x10 + Elevation",1460,"",NA,"Cirsion richterano-chodati"
"36","T-P11667","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",12,1988,-5.813277885,42.9694278,"3 - UTM10x10 + Elevation",1460,"",NA,"Cirsion richterano-chodati"
"37","T-P11668","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",5,1988,-5.616602709,42.95788807,"3 - UTM10x10 + Elevation",1350,"",NA,"Cirsion richterano-chodati"
"38","T-P11669","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","R",40,1988,-5.640469736,42.88530357,"3 - UTM10x10 + Elevation",1140,"W",1.8,"Cirsion richterano-chodati"
"39","T-P11881","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","V",100,1988,-5.32150823,43.06510802,"3 - UTM10x10 + Elevation",1620,"",NA,"Cirsion richterano-chodati"
"40","T-P11882","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","R",20,1988,-5.250462326,43.07012973,"3 - UTM10x10 + Elevation",1620,"",NA,"Cirsion richterano-chodati"
"41","T-P12286","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,1988,-6.202938141,42.96458091,"3 - UTM10x10 + Elevation",1410,"",NA,"Cirsion richterano-chodati"
"42","T-P12287","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,1988,-6.208583593,42.97882923,"3 - UTM10x10 + Elevation",1320,"",NA,"Cirsion richterano-chodati"
"43","T-P12288","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",8,1988,-6.217253751,42.95697572,"3 - UTM10x10 + Elevation",1250,"",NA,"Cirsion richterano-chodati"
"44","T-P12290","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",10,1988,-6.214805593,42.95704458,"3 - UTM10x10 + Elevation",1250,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"45","T-P12291","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",6,1988,-6.301255783,42.9689879,"3 - UTM10x10 + Elevation",1250,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"46","T-P12292","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",15,1988,-6.428663491,42.87879954,"3 - UTM10x10 + Elevation",900,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"47","T-P15413","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",20,1986,-6.96301988,43.37986208,"4 - UTM10x10 + Centroid",1250,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"48","T-P15426","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",10,1986,-6.046877736,42.78335639,"3 - UTM10x10 + Elevation",1100,"",NA,"Cirsion richterano-chodati"
"49","T-P15427","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",10,1986,-5.965895598,43.23569538,"3 - UTM10x10 + Elevation",1170,"",NA,"Cirsion richterano-chodati"
"50","T-P22326","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",60,1988,-5.315636737,43.10484664,"3 - UTM10x10 + Elevation",1300,"",NA,"Cirsion richterano-chodati"
"51","T-P22327","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",70,1988,-5.332825473,42.90999906,"3 - UTM10x10 + Elevation",1320,"",NA,"Cirsion richterano-chodati"
"52","T-P22328","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",70,1988,-5.47624805,42.94300328,"3 - UTM10x10 + Elevation",1390,"",NA,"Cirsion richterano-chodati"
"53","T-P22329","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",200,1988,-5.551723284,42.93053925,"3 - UTM10x10 + Elevation",1130,"",NA,"Cirsion richterano-chodati"
"54","T-P22330","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",50,1988,-4.935418861,42.89399817,"3 - UTM10x10 + Elevation",1390,"",NA,"Cirsion richterano-chodati"
"55","T-P22331","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,1988,-4.822576379,43.05433533,"3 - UTM10x10 + Elevation",1390,"",NA,"Cirsion richterano-chodati"
"56","T-P22332","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",100,1988,-4.782988275,43.0441535,"3 - UTM10x10 + Elevation",1610,"",NA,"Cirsion richterano-chodati"
"57","T-P22333","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",200,1988,-4.979170824,42.8068027,"3 - UTM10x10 + Elevation",1070,"",NA,"Cirsion richterano-chodati"
"58","T-P22334","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",120,1988,-4.82246974,43.05073515,"3 - UTM10x10 + Elevation",1280,"",NA,"Cirsion richterano-chodati"
"59","T-P22335","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",200,1988,-4.971931033,42.96361238,"3 - UTM10x10 + Elevation",1090,"",NA,"Cirsion richterano-chodati"
"60","T-P22336","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",100,1988,-5.527993205,42.88964501,"3 - UTM10x10 + Elevation",1090,"",NA,"Cirsion richterano-chodati"
"61","T-P22337","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",200,1988,-5.265788485,43.01940179,"3 - UTM10x10 + Elevation",1170,"",NA,"Cirsion richterano-chodati"
"62","T-P22338","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",50,1988,-5.000524256,43.01354245,"3 - UTM10x10 + Elevation",1140,"",NA,"Cirsion richterano-chodati"
"63","T-P22339","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",100,1988,-4.920854553,42.97708789,"3 - UTM10x10 + Elevation",1180,"",NA,"Cirsion richterano-chodati"
"64","T-P22340","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","R",100,1988,-5.219266299,43.09054916,"3 - UTM10x10 + Elevation",1510,"",NA,"Cirsion richterano-chodati"
"65","T-P22341","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",150,1988,-5.293533307,43.10529203,"3 - UTM10x10 + Elevation",1440,"",NA,"Cirsion richterano-chodati"
"66","T-P22342","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",60,1988,-5.132614525,43.14262273,"3 - UTM10x10 + Elevation",1270,"",NA,"Cirsion richterano-chodati"
"67","T-P22343","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",50,1988,-5.095502023,43.13610515,"3 - UTM10x10 + Elevation",1200,"",NA,"Cirsion richterano-chodati"
"68","T-P22344","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",100,1988,-5.024032771,43.01942117,"4 - UTM10x10 + Centroid",1070,"",NA,"Cirsion richterano-chodati"
"69","T-P22356","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",200,1988,-5.505504211,42.81810239,"3 - UTM10x10 + Elevation",970,"",NA,"Cirsion richterano-chodati"
"70","T-P22357","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",100,1988,-5.54690667,42.81358653,"3 - UTM10x10 + Elevation",1040,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"71","T-P22358","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",100,1988,-5.681268868,42.75288732,"3 - UTM10x10 + Elevation",1120,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"72","T-P22359","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",150,1988,-5.627476499,42.80996401,"3 - UTM10x10 + Elevation",950,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"73","T-P22360","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",150,1988,-5.643608303,42.90143927,"3 - UTM10x10 + Elevation",1080,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"74","T-P22361","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",100,1988,-5.701239318,42.87488037,"3 - UTM10x10 + Elevation",1170,"",NA,"Cirsion richterano-chodati"
"75","T-P22362","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",120,1988,-5.330723492,42.85421267,"3 - UTM10x10 + Elevation",960,"",NA,"Cirsion richterano-chodati"
"76","T-P22363","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",200,1988,-5.398788954,42.84200043,"3 - UTM10x10 + Elevation",1040,"",NA,"Cirsion richterano-chodati"
"77","T-P23967","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",5,1982,-1.973740791,43.05524401,"3 - UTM10x10 + Elevation",600,"",NA,"Cirsion richterano-chodati"
"78","T-P23969","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",5,1982,-2.490334808,42.95245112,"3 - UTM10x10 + Elevation",830,"",NA,"Cirsion richterano-chodati"
"79","U-P00106","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","R",20,2001,-5.235996238,43.07761704,"1 - UTM1x1 + Elevation",1625,"",NA,"Cirsion richterano-chodati"
"80","U-P00107","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,2001,-5.240774929,43.07392172,"2 - UTM1x1 + Centroid",1515,"N",40,"Cirsion richterano-chodati"
"81","U-P00108","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",30,2001,-5.057537865,43.03054059,"1 - UTM1x1 + Elevation",1080,"",NA,"Cirsion richterano-chodati"
"82","U-P00109","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",12,2001,-5.02038241,43.02039722,"1 - UTM1x1 + Elevation",1130,"N",2,"Cirsion richterano-chodati"
"83","U-P00110","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,2001,-5.013435233,43.03312621,"1 - UTM1x1 + Elevation",1100,"",NA,"Cirsion richterano-chodati"
"84","U-P00111","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",3,2001,-5.018637393,43.04203918,"2 - UTM1x1 + Centroid",1160,"",NA,"Cirsion richterano-chodati"
"85","U-P00112","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,2001,-5.023103985,43.10319149,"1 - UTM1x1 + Elevation",1280,"",NA,"Cirsion richterano-chodati"
"86","U-P00113","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,2001,-5.152963185,43.02158083,"1 - UTM1x1 + Elevation",1560,"",NA,"Cirsion richterano-chodati"
"87","U-P00114","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",60,2001,-5.140698815,43.02181098,"2 - UTM1x1 + Centroid",1300,"",NA,"Cirsion richterano-chodati"
"88","U-P00116","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",20,2001,-5.047365295,43.01991752,"1 - UTM1x1 + Elevation",1120,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"89","U-P00599","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,2002,-4.964406642,42.95833895,"1 - UTM1x1 + Elevation",1130,"",NA,"Cirsion richterano-chodati"
"90","U-P00600","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,2002,-4.758959542,43.06253486,"1 - UTM1x1 + Elevation",1610,"",NA,"Cirsion richterano-chodati"
"91","U-P00601","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",40,2002,-4.916000901,42.89972784,"1 - UTM1x1 + Elevation",1410,"SE",2,"Cirsion richterano-chodati"
"92","U-P00602","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,2002,-5.017966356,42.9466012,"1 - UTM1x1 + Elevation",1110,"",NA,"Cirsion richterano-chodati"
"93","U-P00603","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,2002,-4.932829752,42.96788147,"1 - UTM1x1 + Elevation",1100,"N",5,"Cirsion richterano-chodati"
"94","U-P00604","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",50,2002,-4.934378278,42.93903997,"1 - UTM1x1 + Elevation",1170,"",NA,"Cirsion richterano-chodati"
"95","U-P00606","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",40,2002,-5.153281116,42.89010627,"1 - UTM1x1 + Elevation",990,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"96","U-P00607","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,2002,-5.095877856,42.93079304,"1 - UTM1x1 + Elevation",1030,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"97","U-P00609","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",40,2002,-5.038905037,42.83817203,"1 - UTM1x1 + Elevation",1140,"",NA,"Cirsion richterano-chodati"
"98","U-P00611","Comunidad de Carduus platypus subsp. platypus y Onopordum acanthium","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",50,2002,-5.149958132,42.8649553,"1 - UTM1x1 + Elevation",970,"",NA,"Carduo carpetani-Cirsion odontolepidis"
"99","U-P16702","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,2009,-5.168504199,43.04469922,"1 - UTM1x1 + Elevation",1300,"N",2,"Cirsion richterano-chodati"
"100","U-P16704","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",50,2009,-5.116788343,43.04026513,"2 - UTM1x1 + Centroid",1120,"N",15,"Cirsion richterano-chodati"
"101","U-P16705","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",60,2009,-5.141324671,43.03980847,"2 - UTM1x1 + Centroid",1180,"",NA,"Cirsion richterano-chodati"
"102","U-P16706","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Artemisietea vulgaris","V38",20,2009,-5.167762967,43.09333777,"2 - UTM1x1 + Centroid",1260,"",NA,"Cirsion richterano-chodati"
